year,month,maximum_temperature
1988,9,31.2
1988,10,24.9
1989,7,31.5
1989,8,33.5
1989,9,32.3
1989,10,25.9
1990,7,34.6
1990,8,35.9
1990,9,34.0
1990,10,28.2
1991,7,35.6
1991,8,35.2
1991,9,32.2
1991,10,28.1
1992,7,34.7
1992,8,34.2
1992,9,35.2
1992,10,27.3
1993,7,32.3
1993,8,32.9
1993,9,32.1
1993,10,25.3
1994,7,35.6
1994,8,39.1
1994,9,32.9
1994,10,27.9
1995,7,35.9
1995,8,36.4
1995,9,35.8
1995,10,27.8
1996,7,34.8
1996,8,38.7
1996,9,34.5
1996,10,27.2
1997,7,37.7
1997,8,34.5
1997,9,32.9
1997,10,27.1
1998,7,36.1
1998,8,35.5
1998,9,32.8
1998,10,31.9
1999,7,34.2
1999,8,34.8
1999,9,34.2
1999,10,29.2
2000,7,34.9
2000,8,34.5
2000,9,37.8
2000,10,28.1
2001,7,38.1
2001,8,36.3
2001,9,32.6
2001,10,28.5
2002,7,34.8
2002,8,35.8
2002,9,33.9
2002,10,29.4
2003,7,31.9
2003,8,34.3
2003,9,34.3
2003,10,28.7
2004,7,39.5
2004,8,36.5
2004,9,33.6
2004,10,28.2
2005,7,35.6
2005,8,35.8
2005,9,33.1
2005,10,31.7
2006,7,36.1
2006,8,35.4
2006,9,34.8
2006,10,27.0
2007,7,32.7
2007,8,37.5
2007,9,32.9
2007,10,26.5
2008,7,34.5
2008,8,35.3
2008,9,32.3
2008,10,25.2
2009,7,34.2
2009,8,33.2
2009,9,31.5
2009,10,27.1
2010,7,36.3
2010,8,37.2
2010,9,35.9
2010,10,28.3
2011,7,34.8
2011,8,36.1
2011,9,32.5
2011,10,29.7
2012,7,35.4
2012,8,35.7
2012,9,33.8
2012,10,31.0
2013,7,35.4
2013,8,38.3
2013,9,35.7
2013,10,31.3
2014,7,35.6
2014,8,36.1
2014,9,31.6
2014,10,29.8
2015,7,35.8
2015,8,37.7
2015,9,31.5
2015,10,28.1
2016,7,36.7
2016,8,37.7
2016,9,33.0
2016,10,32.0
2017,7,35.0
2017,8,37.1
2017,9,33.3
2017,10,29.0
2018,7,39.0
2018,8,37.3
2018,9,33.0
2018,10,32.3
2019,7,34.6
2019,8,35.6
2019,9,36.2
2019,10,30.3
2020,7,32.5
2020,8,37.3
2020,9,35.1
2020,10,26.7
